Method,R=128,R=256,R=512,R=1024,R=2048
LX,0.16173728359863163,0.1968700834084302,0.4826554581988603,0.4806266084022354,1.0648218165966683
LE,0.65292871639831,0.70885273340391,0.9956994417938404,1.7799409752013162,3.237128592003137
LK,0.10248345839791,0.15667909980402328,0.26946445819921794,0.6536528834025376,1.1342838417971506
KN,0.01668239980353974,0.005689716798951849,0.009608325199224055,0.05642192500527017,0.09204733339720406
HT,0.5748323747946416,0.9437881168036256,1.8188937249942683,3.556097499799216,8.076810624997597
HK,0.9695621995953843,1.0493684331944677,1.8154537082009483,3.5999341496091803,6.994740491802804
MB,0.3760934168007225,0.4763720165996347,0.6713579915929586,1.0253810247930233,2.2917873081984
ANN-FQ,0.00508068319177255,0.03976288339472376,0.05548118340084329,0.009260700002778321,0.10319922499475069
RP-ANN-FQ,0.017683558614226057,0.007899116596672685,0.011562791600590571,0.04644985839840956,0.11986009180545806
KD-ANN-FQ,0.030564233398763463,0.048362333385739475,0.1076707499974873,0.23412915000808426,0.4849742249993142
MR-FQ,0.5024039582058322,0.7391133918077685,0.8732117582054343,0.9828751667984761,0.9610862834029831
CE-LE,0.3504431418085005,0.3078762750083115,0.30761225859168917,0.3686865081952419,0.6670953247928992
CE-MB,0.37345673319650813,0.05378959139343351,0.1312901499972213,0.32166622499353253,0.45100527500617316
SVD-CE-LE,3.135356800007867,4.883221800194588,4.97271373339463,8.928333974996349,9.52938175839372
RP-CE-LE,0.6187209420022555,0.32294148339424283,0.28213910000631587,0.37202864160062743,0.36423658339772375
