Method,R=128,R=256,R=512,R=1024,R=2048
LX,0.9779480653499066,0.3426468157256389,0.6032439455100624,0.07330730798090422,0.3481708215370414
LE,0.8207041008520672,0.4250238439278983,0.20623138360448237,0.22745111995790104,0.10754110813801214
LK,0.4097051057567676,0.19776892776320878,0.10386983671163828,0.6295007039557327,0.3409416192291191
KN,0.9417934346532152,0.181573043280531,0.11122189530819543,0.23326387042677296,0.6858202649438008
HT,0.3316062573223944,0.2306854535574964,0.14543948738498275,0.027197429774623052,0.127579734808725
HK,0.2561008981477542,0.29207119216340516,0.2003135813170367,0.04138560567862449,0.17495190042190428
MB,0.1786980996335405,0.23177051663572187,0.09484634987910422,0.10735514825852992,0.15054025622752032
ANN-FQ,0.8028342065442339,1.708675843210198,1.2690478451373388,0.08980881496469308,0.8673665600920983
RP-ANN-FQ,0.382913019797551,0.32517065672156353,0.2937559689419059,0.9559217190372973,0.6878960070968988
KD-ANN-FQ,0.167535035503441,0.07455926700790041,0.007730792586958131,0.003225050421603237,0.0029813859660348828
MR-FQ,0.23927600898652646,0.29227813290857374,0.28455183850710364,0.10039842730909357,0.2838104359409166
CE-LE,0.1364568443380216,0.4791791563854966,0.46813265164610324,0.3751336528345039,0.3177264788052045
CE-MB,0.1947603439840474,0.46198170951763334,0.4488665695561433,0.31345166890782905,0.34676427692216893
SVD-CE-LE,0.046470054894112364,0.039666974969392574,0.04546522402180376,0.09072783413239241,0.09218736856116001
RP-CE-LE,1.1080657039473496,0.3285584712589787,0.5292199925100848,0.5274007884013762,0.7389410250115016
